epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1657.11,1.32234,0.67505,1.1275,0.99134,0.98667,0.9936,0.57428,1.41262,0.67026,1.15853,0.0009308,0.0009308,0.0009308
56,1680.47,1.33682,0.66196,1.12876,0.98248,0.99713,0.99387,0.64037,1.23382,0.61992,1.10236,0.000911,0.000911,0.000911
57,1703.41,1.42853,0.67583,1.1793,0.99561,0.99713,0.99457,0.62895,1.25861,0.60894,1.09783,0.0008912,0.0008912,0.0008912
58,1726.31,1.31242,0.62953,1.11502,0.99661,0.99713,0.99466,0.61224,1.30496,0.60723,1.11564,0.0008714,0.0008714,0.0008714
59,1749.04,1.33035,0.65597,1.10586,0.99551,0.99713,0.99445,0.63646,1.22796,0.56995,1.09203,0.0008516,0.0008516,0.0008516
60,1771.97,1.35455,0.65882,1.14574,0.9968,0.99713,0.99454,0.60518,1.2867,0.57604,1.096,0.0008318,0.0008318,0.0008318
61,1794.72,1.29631,0.64642,1.11528,0.99688,0.99713,0.99489,0.62626,1.22939,0.56236,1.08614,0.000812,0.000812,0.000812
62,1817.56,1.36205,0.64248,1.14097,0.99948,1,0.995,0.64289,1.22293,0.56647,1.09639,0.0007922,0.0007922,0.0007922
63,1840.9,1.31947,0.6451,1.12993,0.99679,0.99713,0.99466,0.63264,1.23672,0.57163,1.07582,0.0007724,0.0007724,0.0007724
64,1863.73,1.29612,0.63447,1.09781,0.99673,0.99713,0.99466,0.62541,1.23704,0.56905,1.07493,0.0007526,0.0007526,0.0007526
65,1898.91,1.27937,0.63478,1.08003,0.99679,0.99713,0.99491,0.64895,1.18193,0.55616,1.06693,0.0007328,0.0007328,0.0007328
66,1935.87,1.30983,0.62264,1.11386,0.99676,0.99713,0.99494,0.64074,1.20109,0.55618,1.06757,0.000713,0.000713,0.000713
67,1958.66,1.28854,0.60154,1.10142,0.99667,0.99713,0.99491,0.6275,1.24605,0.56338,1.08072,0.0006932,0.0006932,0.0006932
68,1982,1.24724,0.58785,1.06663,0.99711,0.99303,0.99491,0.64607,1.22638,0.56353,1.08553,0.0006734,0.0006734,0.0006734
69,2004.9,1.27194,0.61145,1.11196,0.99712,0.99352,0.99488,0.64831,1.2148,0.55947,1.07576,0.0006536,0.0006536,0.0006536
70,2027.99,1.3133,0.60928,1.09957,0.99711,0.99713,0.99491,0.6531,1.19389,0.55443,1.06177,0.0006338,0.0006338,0.0006338
71,2050.76,1.2521,0.59742,1.10589,0.9963,0.99713,0.99491,0.67514,1.15866,0.54272,1.05592,0.000614,0.000614,0.000614
72,2073.63,1.28565,0.61525,1.11087,0.99644,0.99713,0.99489,0.67692,1.16824,0.54467,1.05443,0.0005942,0.0005942,0.0005942
73,2096.43,1.24311,0.58542,1.08274,0.99669,0.99713,0.99491,0.66459,1.16778,0.546,1.04845,0.0005744,0.0005744,0.0005744
74,5107.61,1.24522,0.59834,1.09181,0.99924,1,0.995,0.68511,1.12965,0.53642,1.04333,0.0005546,0.0005546,0.0005546
75,5133.45,1.24462,0.60139,1.1097,0.99643,0.99713,0.99497,0.67893,1.13492,0.54536,1.05268,0.0005348,0.0005348,0.0005348
76,5154.21,1.23773,0.58627,1.08746,0.99644,0.99713,0.99497,0.66693,1.13168,0.54773,1.04197,0.000515,0.000515,0.000515
